exercise_id,exercise_name,muscle_group,inferred_pattern,risk_reason,suggested_contraindications,suggested_pain_limitation_tags,suggested_regressions,suggested_equivalent_substitutes,suggested_progressions,suggested_equipment,reviewer_status,reviewer_notes
"606fe07b-7696-428d-91b3-012863ca5554","Desenvolvimento Arnold em Pé","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"4834bdde-5c05-47d1-94b3-9cdecd81fd62","Desenvolvimento Arnold Sentado","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"7c4dd9a3-c6c2-4e9a-a896-42b7c9911ade","Desenvolvimento Barra Sentado","ombro","empurrar_vertical","Overhead press com barra — risco ombro/cervical","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; cervical_pain","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","barbell","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"e9356e80-6f25-4ac7-bce7-afc652825220","Desenvolvimento Halteres em Pé","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"f65e178d-2fb9-467d-8ec7-153df01be7bb","Desenvolvimento Halteres Sentado","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"e1ff0905-955b-4bf7-95c6-1b72dbfa34ff","Desenvolvimento Máquina","ombro","empurrar_vertical","Overhead press (máquina, mais estável) — ainda overhead","acute_shoulder_pain; painful_overhead_press; overhead_limitation","shoulder_pain; overhead_limitation","Elevação Lateral Máquina; Face Pull Corda; Manguito Externo","Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor","machine","needs_review","Variação em máquina já é mais estável — pode ser a regressão dos livres; validar"
"bf14a53d-23ee-4db4-a46e-07e149e66454","Desenvolvimento Militar","ombro","empurrar_vertical","Overhead press com barra — risco ombro/cervical","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; cervical_pain","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","barbell","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"48ece7af-de72-45c1-bdf4-27a7ff2f3209","Desenvolvimento Neutro em Pé","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"77208e72-8b6f-4fdc-99ca-42a18e2889d6","Desenvolvimento Neutro Halteres Sentado","ombro","empurrar_vertical","Overhead press carregado — risco ombro/manguito","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Neutro Máquina; Desenvolvimento Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"7f9fbd65-d234-4b84-b198-faca46343915","Desenvolvimento Neutro Máquina","ombro","empurrar_vertical","Overhead press (máquina neutra, mais estável) — ainda overhead","acute_shoulder_pain; painful_overhead_press; overhead_limitation","shoulder_pain; overhead_limitation","Elevação Lateral Máquina; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; carga só sem dor","machine","needs_review","Variação em máquina neutra já é mais estável — pode ser regressão dos livres; validar"
